Sentiment, Positive score, Negative score, Article URL
very positive, 0.74, 0.29, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304030000-747.json
negative, 0.01, 0.99, https://www.morningstar.co.uk/uk/news/211398/stock-of-the-week-coca-cola.aspx
positive, 0.97, 0.03, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302194500-730.json
negative, 0.0, 0.99, https://stellar.ie/real-talk/its-just-a-little-content-baby-the-ethics-of-sharing-your-kids-online/128721
positive, 0.86, 0.12, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304073000-2193.json
negative, 0.01, 0.98, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150303214500-2911.json
positive, 0.99, 0.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302114500-1380.json
negative, 0.0, 1.0, https://www.biometricupdate.com/202310/biometrics-on-gig-economy-platforms-spoofed-in-brazil-hold-appeal-in-us
positive, 0.94, 0.04, https://leadership.ng/stakeholders-tackle-child-labour-in-cocoa-industry/
very negative, 0.0, 0.99, https://slguardian.org/afghanistan-collapse-of-human-rights/
positive, 0.75, 0.04, http://www.niemanlab.org/2017/02/the-new-york-times-latest-vr-project-is-an-adaptation-of-george-saunders-new-novel/
very negative, 0.01, 0.99, http://morungexpress.com/apple-google-among-tech-firms-sued-over-child-labour
positive, 0.92, 0.12, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302073000-1432.json
negative, 0.0, 1.0, https://www.intrafish.com/legal/lawmakers-ask-us-customs-agency-to-demonstrate-how-its-preventing-use-of-chinese-forced-labor-in-seafood-supply-chain/2-1-1539111
positive, 0.89, 0.04, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302054500-1673.json
very negative, 0.0, 1.0, https://www.klcc.org/npr-top-stories/2022-12-07/mcdonalds-franchise-owners-are-caught-violating-child-labor-laws
very positive, 0.74, 0.29, http://www.estevanmercury.ca/news/city/grade-7-class-at-hillcrest-look-at-we-day-challenges-to-make-positive-changes-around-the-world-1.1440042
very negative, 0.0, 0.99, https://www.onegreenplanet.org/human-interest/10-corporate-giants-with-alarming-human-rights-violations/
very positive, 0.74, 0.15, https://www.confectioneryproduction.com/news/40092/major-chocolate-groups-address-child-labour-with-drive-for-greater-education/
very negative, 0.0, 1.0, https://www.miningmx.com/news/base-metals/54436-cobalts-redemption-is-underway-but-its-no-easy-road/
positive, 0.96, 0.04, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150303024500-1215.json
negative, 0.0, 1.0, https://afro.com/chipotle-will-pay-300000-to-resolve-allegations-of-child-labor-law-violations-in-d-c/
positive, 0.89, 0.07, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304013000-1768.json
negative, 0.0, 1.0, https://observer.ug/news/headlines/79779-electric-vehicles-germany-s-bmw-probes-morocco-labour-environmental-exploitation
positive, 0.75, 0.21, https://www.hospitalitynet.org/news/4118907.html
very negative, 0.0, 1.0, http://www.thejournal.ie/palm-oil-3109822-Nov2016/
positive, 0.66, 0.17, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302213000-2416.json
